Source,,,,,,,,,Destination,,,,,,,,,Cable Length,Cable Type
Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,Hostname,Hall,Aisle,Rack,Shelf U,Tray,Port,Label,Node Type,,
wh-glx-a03u02,120,A,03,U02,2,3,120A03U02-2-3,WH_GALAXY,wh-glx-a03u08,120,A,03,U08,1,3,120A03U08-1-3,WH_GALAXY,1m,Amphenol QSFP-DD 400G
wh-glx-a03u02,120,A,03,U02,4,3,120A03U02-4-3,WH_GALAXY,wh-glx-a03u08,120,A,03,U08,3,3,120A03U08-3-3,WH_GALAXY,1m,Amphenol QSFP-DD 400G
wh-glx-a03u02,120,A,03,U02,2,4,120A03U02-2-4,WH_GALAXY,wh-glx-a03u08,120,A,03,U08,1,4,120A03U08-1-4,WH_GALAXY,1m,Amphenol QSFP-DD 400G
wh-glx-a03u02,120,A,03,U02,4,4,120A03U02-4-4,WH_GALAXY,wh-glx-a03u08,120,A,03,U08,3,4,120A03U08-3-4,WH_GALAXY,1m,Amphenol QSFP-DD 400G
wh-glx-a03u02,120,A,03,U02,2,5,120A03U02-2-5,WH_GALAXY,wh-glx-a03u08,120,A,03,U08,1,5,120A03U08-1-5,WH_GALAXY,1m,Amphenol QSFP-DD 400G
wh-glx-a03u02,120,A,03,U02,4,5,120A03U02-4-5,WH_GALAXY,wh-glx-a03u08,120,A,03,U08,3,5,120A03U08-3-5,WH_GALAXY,1m,Amphenol QSFP-DD 400G
wh-glx-a03u02,120,A,03,U02,2,6,120A03U02-2-6,WH_GALAXY,wh-glx-a03u08,120,A,03,U08,1,6,120A03U08-1-6,WH_GALAXY,1m,Amphenol QSFP-DD 400G
wh-glx-a03u02,120,A,03,U02,4,6,120A03U02-4-6,WH_GALAXY,wh-glx-a03u08,120,A,03,U08,3,6,120A03U08-3-6,WH_GALAXY,1m,Amphenol QSFP-DD 400G
wh-glx-a03u08,120,A,03,U08,2,3,120A03U08-2-3,WH_GALAXY,wh-glx-a03u02,120,A,03,U02,1,3,120A03U02-1-3,WH_GALAXY,1m,Amphenol QSFP-DD 400G
wh-glx-a03u08,120,A,03,U08,4,3,120A03U08-4-3,WH_GALAXY,wh-glx-a03u02,120,A,03,U02,3,3,120A03U02-3-3,WH_GALAXY,1m,Amphenol QSFP-DD 400G
wh-glx-a03u08,120,A,03,U08,2,4,120A03U08-2-4,WH_GALAXY,wh-glx-a03u02,120,A,03,U02,1,4,120A03U02-1-4,WH_GALAXY,1m,Amphenol QSFP-DD 400G
wh-glx-a03u08,120,A,03,U08,4,4,120A03U08-4-4,WH_GALAXY,wh-glx-a03u02,120,A,03,U02,3,4,120A03U02-3-4,WH_GALAXY,1m,Amphenol QSFP-DD 400G
wh-glx-a03u08,120,A,03,U08,2,5,120A03U08-2-5,WH_GALAXY,wh-glx-a03u02,120,A,03,U02,1,5,120A03U02-1-5,WH_GALAXY,1m,Amphenol QSFP-DD 400G
wh-glx-a03u08,120,A,03,U08,4,5,120A03U08-4-5,WH_GALAXY,wh-glx-a03u02,120,A,03,U02,3,5,120A03U02-3-5,WH_GALAXY,1m,Amphenol QSFP-DD 400G
wh-glx-a03u08,120,A,03,U08,2,6,120A03U08-2-6,WH_GALAXY,wh-glx-a03u02,120,A,03,U02,1,6,120A03U02-1-6,WH_GALAXY,1m,Amphenol QSFP-DD 400G
wh-glx-a03u08,120,A,03,U08,4,6,120A03U08-4-6,WH_GALAXY,wh-glx-a03u02,120,A,03,U02,3,6,120A03U02-3-6,WH_GALAXY,1m,Amphenol QSFP-DD 400G
